product_id,product_name,category,sub_category
P2001,Laptops Model 1,Electronics,Laptops
P2002,Cameras Model 2,Electronics,Cameras
P2003,Cameras Model 3,Electronics,Cameras
P2004,Cameras Model 4,Electronics,Cameras
P2005,Headphones Model 5,Electronics,Headphones
P2006,Cameras Model 6,Electronics,Cameras
P2007,Headphones Model 7,Electronics,Headphones
P2008,Phones Model 8,Electronics,Phones
P2009,Phones Model 9,Electronics,Phones
P2010,Laptops Model 10,Electronics,Laptops
P2011,Laptops Model 11,Electronics,Laptops
P2012,Headphones Model 12,Electronics,Headphones
P2013,Phones Model 13,Electronics,Phones
P2014,Laptops Model 14,Electronics,Laptops
P2015,Laptops Model 15,Electronics,Laptops
P2016,Laptops Model 16,Electronics,Laptops
P2017,Phones Model 17,Electronics,Phones
P2018,Laptops Model 18,Electronics,Laptops
P2019,Phones Model 19,Electronics,Phones
P2020,Cameras Model 20,Electronics,Cameras
P2021,Cameras Model 21,Electronics,Cameras
P2022,Cameras Model 22,Electronics,Cameras
P2023,Headphones Model 23,Electronics,Headphones
P2024,Phones Model 24,Electronics,Phones
P2025,Laptops Model 25,Electronics,Laptops
P2026,Headphones Model 26,Electronics,Headphones
P2027,Headphones Model 27,Electronics,Headphones
P2028,Cameras Model 28,Electronics,Cameras
P2029,Phones Model 29,Electronics,Phones
P2030,Laptops Model 30,Electronics,Laptops
P2031,Headphones Model 31,Electronics,Headphones
P2032,Laptops Model 32,Electronics,Laptops
P2033,Cameras Model 33,Electronics,Cameras
P2034,Chairs Model 34,Furniture,Chairs
P2035,Tables Model 35,Furniture,Tables
P2036,Tables Model 36,Furniture,Tables
P2037,Sofas Model 37,Furniture,Sofas
P2038,Tables Model 38,Furniture,Tables
P2039,Chairs Model 39,Furniture,Chairs
P2040,Chairs Model 40,Furniture,Chairs
P2041,Tables Model 41,Furniture,Tables
P2042,Sofas Model 42,Furniture,Sofas
P2043,Sofas Model 43,Furniture,Sofas
P2044,Storage Model 44,Furniture,Storage
P2045,Chairs Model 45,Furniture,Chairs
P2046,Storage Model 46,Furniture,Storage
P2047,Sofas Model 47,Furniture,Sofas
P2048,Storage Model 48,Furniture,Storage
P2049,Sofas Model 49,Furniture,Sofas
P2050,Storage Model 50,Furniture,Storage
P2051,Storage Model 51,Furniture,Storage
P2052,Chairs Model 52,Furniture,Chairs
P2053,Chairs Model 53,Furniture,Chairs
P2054,Storage Model 54,Furniture,Storage
P2055,Sofas Model 55,Furniture,Sofas
P2056,Sofas Model 56,Furniture,Sofas
P2057,Chairs Model 57,Furniture,Chairs
P2058,Chairs Model 58,Furniture,Chairs
P2059,Tables Model 59,Furniture,Tables
P2060,Chairs Model 60,Furniture,Chairs
P2061,Sofas Model 61,Furniture,Sofas
P2062,Chairs Model 62,Furniture,Chairs
P2063,Tables Model 63,Furniture,Tables
P2064,Storage Model 64,Furniture,Storage
P2065,Storage Model 65,Furniture,Storage
P2066,Sofas Model 66,Furniture,Sofas
P2067,Women's Wear Model 67,Clothing,Women'S Wear
P2068,Accessories Model 68,Clothing,Accessories
P2069,Accessories Model 69,Clothing,Accessories
P2070,Men's Wear Model 70,Clothing,Men'S Wear
P2071,Accessories Model 71,Clothing,Accessories
P2072,Footwear Model 72,Clothing,Footwear
P2073,Accessories Model 73,Clothing,Accessories
P2074,Footwear Model 74,Clothing,Footwear
P2075,Footwear Model 75,Clothing,Footwear
P2076,Men's Wear Model 76,Clothing,Men'S Wear
P2077,Women's Wear Model 77,Clothing,Women'S Wear
P2078,Footwear Model 78,Clothing,Footwear
P2079,Accessories Model 79,Clothing,Accessories
P2080,Accessories Model 80,Clothing,Accessories
P2081,Footwear Model 81,Clothing,Footwear
P2082,Accessories Model 82,Clothing,Accessories
P2083,Men's Wear Model 83,Clothing,Men'S Wear
P2084,Accessories Model 84,Clothing,Accessories
P2085,Men's Wear Model 85,Clothing,Men'S Wear
P2086,Footwear Model 86,Clothing,Footwear
P2087,Footwear Model 87,Clothing,Footwear
P2088,Footwear Model 88,Clothing,Footwear
P2089,Men's Wear Model 89,Clothing,Men'S Wear
P2090,Accessories Model 90,Clothing,Accessories
P2091,Men's Wear Model 91,Clothing,Men'S Wear
P2092,Accessories Model 92,Clothing,Accessories
P2093,Accessories Model 93,Clothing,Accessories
P2094,Men's Wear Model 94,Clothing,Men'S Wear
P2095,Women's Wear Model 95,Clothing,Women'S Wear
P2096,Footwear Model 96,Clothing,Footwear
P2097,Accessories Model 97,Clothing,Accessories
P2098,Accessories Model 98,Clothing,Accessories
P2099,Men's Wear Model 99,Clothing,Men'S Wear
