order_id,order_date,customer_id,product_id,location_id,shipping_id,quantity,sales,discount,profit
O7233,2024-02-15,C1413,P2033,L108,SH1,6,₹147238.0,0.09,37606.99
O9052,2025-06-13,C1389,P2087,L108,SH19,4,14526.76,0.09,4608.89
O9811,2024-05-03,C1444,P2024,L105,SH19,4,130340.09,0.0,50257.35
O9034,2025-05-06,C1111,P2040,L106,SH19,6,46959.14,0.22,5155.96
O11960,2025-08-24,C1483,P2091,L104,SH22,2,1864.23,0.09,727.35
O9956,2024-03-30,C1032,P2038,L105,SH10,3,57406.26,0.22,6079.85
O7875,2025-02-19,C1363,P2098,L101,SH15,1,4256.22,0.11,1474.59
O10843,2025-01-04,C1357,P2008,L111,SH19,1,₹16580.98,0.05,5281.79
O11707,2025-04-02,C1051,P2069,L117,SH13,three,1612.18,0.21,548.79
O7224,2025-08-04,C1168,P2099,L114,SH1,1,1772.97,0.1,613.81
O8289,2024-08-25,C1094,P2030,L111,SH10,4,10987.9,0.13,4246.8
O6582,2025-12-14,C1339,P2015,L112,SH10,three,90279.2,0.01,20368.03
O7230,18/05/2024,C1349,P2071,L115,SH13,1,1245.52,0.12,364.82
O10651,07/07/2025,C1228,P2013,L109,SH22,2,35424.48,0.1,13674.5
O10108,07/09/2024,C1384,P2041,L114,SH6,1,15494.95,0.19,1624.24
O8077,2024-09-03,C1153,P2061,L104,SH25,1,2303.77,0.32,281.26
O6194,2025-04-01,C1281,P2060,L106,SH25,2,43520.28,0.09,4499.79
O6858,2024-12-21,C1287,P2084,L102,SH1,6,₹13999.4,0.1,5477.43
O8481,2024-05-06,C1194,P2058,L115,SH10,4,52070.16,0.15,4893.55
O5261,2024-04-09,C1248,P2045,L116,SH13,1,7982.53,0.3,979.53
O9873,2024-10-31,C1187,P2077,L117,SH25,2,9631.57,0.0,2605.25
O9578,12/01/2024,C1467,P2062,L103,SH22,5,79808.38,0.26,6351.87
O5069,2024-03-14,C1257,P2072,L112,SH10,1,1825.75,0.18,727.39
O11255,2024-07-03,C1397,P2001,L110,SH1,5,109728.99,0.2,22480.44
O6331,2025-02-14,C1194,P2017,L107,SH1,6,205635.92,0.01,50130.19
O6192,2025-01-29,C1481,P2061,L104,SH1,5,29668.06,0.25,2300.96
O8357,2025-01-18,C1236,P2051,L101,SH1,2,27519.31,0.21,1772.96
O6634,2025-09-14,C1422,P2004,L116,SH13,6,178037.22,0.16,53065.79
O11778,2025-07-02,C1224,P2006,L116,SH19,3,₹114427.75,0.11,27382.74
O6426,2024-08-05,C1039,P2064,L102,SH13,2,1810.67,0.19,143.86
O5010,2025-12-23,C1163,P2096,L116,SH25,6,₹24849.61,0.1,8107.09
O10595,21/08/2024,C1311,P2018,L102,SH10,3,13282.54,0.05,3071.15
O5351,30/07/2025,C1181,P2073,L105,SH10,5,22859.98,0.04,9540.37
O5774,2024-03-23,C1188,P2069,L111,SH13,6,20493.29,0.2,8240.16
O6800,2025-02-17,C1338,P2011,L104,SH1,2,33206.08,0.0,10725.66
O7458,2025-03-29,C1307,P2080,L102,SH10,4,13195.74,0.11,5843.06
O9673,2025-11-01,C1300,P2040,L105,SH3,2,9318.9,0.2,1343.83
O7840,2025-01-02,C1164,P2022,L106,SH7,4,127389.09,0.0,25924.62
O8591,2024-04-30,C1406,P2056,L110,SH13,4,53389.44,0.18,7700.93
O5358,2025-01-22,C1115,P2086,L106,SH1,2,3006.9,0.17,1165.78
O5593,2025-05-20,C1047,P2020,L101,SH10,3,33848.47,0.14,9614.61
O7859,2025-08-04,C1376,P2063,L117,SH1,1,16764.97,0.14,2062.12
O11537,2025-11-27,C1472,P2046,L102,SH13,2,4773.52,0.11,658.86
O11072,2025-09-14,C1281,P2063,L116,SH1,4,67796.68,0.16,8376.42
O11836,2024-09-12,C1329,P2034,L111,SH19,3,15387.33,0.22,1539.12
O6857,2024-03-07,C1225,P2064,L114,SH22,4,79237.01,0.17,5976.11
O9963,2025-09-22,C1206,P2006,L117,SH18,1,49150.12,0.08,17071.59
O11082,2025-07-29,C1007,P2068,L112,SH7,4,16156.84,0.09,7137.41
O8142,2024-09-04,C1401,P2057,L114,SH1,5,98746.45,0.14,5972.15
O11898,2024-08-31,C1028,P2051,L108,SH7,1,7139.93,0.28,511.2
O8632,2024-10-23,C1146,P2043,L113,SH4,4,35341.24,0.23,3036.33
O6862,2024-05-27,C1409,P2066,L114,SH22,3,40043.04,0.31,5935.02
O10044,2024-11-24,C1126,P2048,L115,SH25,6,27543.3,0.22,2412.84
O10277,2024-04-16,C1079,P2073,L113,SH13,5,8615.49,0.13,2630.28
O11860,2024-07-02,C1470,P2014,L113,SH1,3,126579.63,0.06,37093.64
O10567,2025-05-17,C1178,P2052,L111,SH5,-5,80160.5,0.21,10862.5
O11683,2025-10-24,C1425,P2069,L114,SH19,1,373.77,0.09,145.29
O5916,2024-05-27,C1479,P2055,L107,SH10,4,9613.11,0.29,762.03
O10332,2024-03-31,C1265,P2033,L105,SH7,3,5189.46,0.12,1203.7
O7245,2025-03-11,C1291,P2028,L115,SH10,3,32127.67,0.0,11801.71
O11109,2025-12-13,C1434,P2030,L111,SH26,1,45090.15,0.16,11911.21
O6541,2025-04-26,C1500,P2053,L112,SH1,2,37300.65,0.21,3225.23
O8103,2024-11-13,C1442,P2043,L108,SH13,1,11004.87,,752.87
O10888,2025-08-22,C1314,P2061,L111,SH10,2,27924.63,0.18,1726.09
O6386,29/01/2024,C1322,P2099,L105,SH4,5,16054.13,0.01,5759.17
O7484,2025-02-08,C1332,P2077,L116,SH16,6,20897.22,0.13,7436.02
O7665,2024-08-24,C1086,P2051,L102,SH19,2,₹42486.25,0.11,3467.91
O6529,2024-12-11,C1044,P2032,L110,SH10,3,85581.3,0.11,17777.05
O5751,2025-02-26,C1305,P2020,L116,SH10,6,215281.97,0.16,53301.55
O11552,2025-05-22,C1382,P2048,L114,SH13,-5,38210.74,0.31,3374.07
O5310,2024-11-13,C1301,P2082,L103,SH1,1,3180.24,0.12,1259.35
O8083,2025-11-23,C1242,P2022,L117,SH22,1,42149.11,0.12,12169.63
O7033,2024-10-29,C1013,P2003,L101,SH25,1,6780.91,0.15,1608.04
O7522,2025-05-10,C1206,P2009,L116,SH4,5,₹227547.28,0.08,87895.05
O7489,2025-08-19,C1303,P2077,L110,SH25,4,9406.57,0.22,2566.0
O11430,2024-10-18,C1360,P2062,L106,SH7,2,42436.86,0.15,2674.09
O10742,2024-03-05,C1096,P2043,L112,SH25,4,30145.9,0.22,3118.03
O7530,2024-02-29,C1070,P2093,L106,SH10,2,7715.1,0.1,3133.94
O9436,2024-01-25,C1222,P2083,L115,SH13,-6,23568.94,0.15,6208.69
O10443,2025-06-01,C1391,P2049,L115,SH1,6,114721.67,0.13,8575.84
O7750,07/09/2024,C1427,P2082,L116,SH19,1,692.54,0.02,
O7258,2024-10-26,C1407,P2065,L110,SH1,5,32357.14,0.09,2189.08
O11812,2024-12-02,C1354,P2013,L109,SH7,1,37144.47,0.21,14279.36
O8463,2025-03-09,C1013,P2098,L108,SH12,1,3476.24,,1166.12
O7947,2025-10-15,C1094,P2093,L107,SH10,4,2038.89,0.05,725.1
O5681,2025-04-14,C1392,P2033,L101,SH1,5,129366.15,0.08,38774.72
O5744,25/04/2025,C1028,P2044,L101,SH25,6,55166.16,0.22,7808.49
O7916,04/10/2024,C1254,P2021,L114,SH7,5,150899.18,0.0,46645.29
O7238,2024-07-19,C1378,P2006,L106,SH10,-4,₹146429.9,0.2,35074.2
O6248,2025-03-10,C1284,P2064,L101,SH1,4,51552.6,0.25,7419.44
O9021,2025-05-29,C1249,P2053,L116,SH13,3,2730.98,0.27,397.13
O8593,2024-11-03,C1436,P2010,L101,SH24,3,20923.43,0.0,5388.61
O5270,2024-07-06,C1123,P2040,L104,SH16,4,36975.87,0.06,2688.97
O6970,2025-09-05,C1317,P2055,L104,SH19,3,8257.53,0.3,704.95
O10436,2025-09-13,C1384,P2058,L110,SH1,5,14099.89,0.14,1876.48
O9512,2025-07-10,C1321,P2010,L107,SH4,5,182694.99,,54499.48
O8598,2025-11-20,C1329,P2091,L101,SH22,1,4231.96,0.15,1451.27
O11539,2025-03-18,C1453,P2022,L117,SH13,6,45559.42,0.04,10426.31
O5491,22/08/2025,C1004,P2083,L103,SH16,5,2772.67,0.09,1163.55
O8410,2024-10-01,C1452,P2080,L110,SH22,4,3988.3,0.1,1166.31
